                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.5674,                 5.7354,                 4.1294,                0.57246,                0.01989,                0.00067,                0.00018,                 3.6054,                    inf,                 7.4928,             0.00030172,             0.00030172,             0.00030172
                      1,                 3.0092,                 4.5527,                 3.5046,                0.28804,                0.11852,                0.00189,                0.00061,                 2.9636,                 7.0548,                 3.3201,             0.00059973,             0.00059973,             0.00059973
                      2,                 2.8514,                 4.0239,                  3.217,                0.16685,                0.01387,                0.00698,                0.00226,                 2.8692,                  3.786,                 3.1801,             0.00089274,             0.00089274,             0.00089274
                      3,                 2.7092,                 3.8298,                 3.0061,                0.17219,                0.02318,                0.01278,                0.00473,                 2.5486,                 3.5877,                  2.847,              0.0008865,              0.0008865,              0.0008865
                      4,                 2.5682,                 3.6459,                 2.8413,                0.33205,                0.02591,                0.01899,                0.00717,                 2.4737,                 3.3357,                  2.757,              0.0008865,              0.0008865,              0.0008865
                      5,                 2.4376,                 3.4454,                 2.7062,                0.46835,                0.02395,                0.02129,                0.00909,                 2.3803,                 3.3064,                 2.6255,               0.000879,               0.000879,               0.000879
                      6,                 2.3227,                 3.3014,                 2.5672,                0.45321,                0.02626,                0.02661,                0.01143,                 2.2505,                 3.2024,                 2.5148,              0.0008715,              0.0008715,              0.0008715
                      7,                 2.3033,                 3.2782,                 2.5247,                0.33465,                0.03985,                  0.029,                0.01329,                 2.2232,                 3.2806,                 2.4083,               0.000864,               0.000864,               0.000864
                      8,                 2.2404,                 3.1832,                 2.4657,                0.34216,                0.04183,                0.03131,                0.01445,                 2.1979,                 3.1614,                 2.3762,             0.00085651,             0.00085651,             0.00085651
                      9,                 2.1277,                 3.1096,                 2.3518,                0.35314,                 0.0462,                0.03675,                0.01682,                  2.112,                 2.9597,                 2.2985,             0.00084901,             0.00084901,             0.00084901
                     10,                 2.1123,                 3.0156,                 2.3157,                0.35406,                0.04601,                0.03414,                0.01808,                 1.9868,                 3.0463,                  2.197,             0.00084151,             0.00084151,             0.00084151
                     11,                 2.0396,                 3.0461,                 2.2587,                0.20732,                0.04972,                0.03606,                0.02009,                 2.0134,                  3.016,                 2.2367,             0.00083401,             0.00083401,             0.00083401
                     12,                 2.0059,                 2.9166,                 2.2033,                0.23638,                0.06488,                0.04104,                0.02204,                 1.9944,                 2.9007,                 2.1586,             0.00082651,             0.00082651,             0.00082651
