                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.6658,                  5.829,                  4.272,                0.00017,                0.03491,                 0.0001,                  4e-05,                 3.7331,                 4.9722,                 4.1509,             0.00029795,             0.00029795,             0.00029795
                      1,                 3.4148,                 5.3528,                 3.9731,                0.00105,                0.09139,                0.00443,                0.00112,                 3.3744,                 4.5367,                 3.9101,               0.000595,               0.000595,               0.000595
                      2,                 3.1196,                 4.8945,                 3.5555,                0.44303,                0.07785,                0.00346,                  0.001,                 3.1271,                 59.495,                 4.0622,             0.00088605,             0.00088605,             0.00088605
                      3,                  2.909,                 4.4147,                 3.1745,                0.74038,                0.02619,                0.00978,                0.00377,                 2.8461,                 4.6864,                 3.0232,               0.000882,               0.000882,               0.000882
                      4,                 2.7862,                 4.0718,                 3.0055,                0.43474,                0.04328,                0.00575,                0.00199,                 2.7517,                 5.0808,                 2.8703,               0.000882,               0.000882,               0.000882
                      5,                 2.5642,                 3.8016,                 2.7485,                0.35794,                0.04518,                0.02113,                0.00794,                 2.5522,                 3.8404,                 2.6432,               0.000873,               0.000873,               0.000873
                      6,                 2.4842,                 3.5977,                 2.6788,                0.47612,                0.04618,                0.02328,                0.01036,                 2.3842,                 3.2867,                 2.5108,               0.000864,               0.000864,               0.000864
                      7,                 2.4225,                 3.4762,                 2.5554,                0.35715,                0.03475,                0.02384,                0.01048,                 2.3293,                 3.1462,                 2.4013,             0.00085501,             0.00085501,             0.00085501
                      8,                 2.3558,                 3.3733,                 2.5062,                0.32886,                0.03542,                0.01836,                0.00726,                 2.3287,                 4.3895,                 2.3923,             0.00084601,             0.00084601,             0.00084601
                      9,                 2.2659,                 3.2572,                 2.3771,                 0.2125,                 0.0489,                0.02975,                0.01441,                 2.1329,                 3.0332,                 2.2937,             0.00083701,             0.00083701,             0.00083701
