                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.5928,                 5.7519,                 4.2408,                0.00045,                0.03582,                0.00025,                  8e-05,                 3.6061,                 4.7044,                 4.0663,             0.00030045,             0.00030045,             0.00030045
                      1,                 3.2606,                 4.9145,                 3.8127,                0.57659,                 0.0483,                0.00198,                0.00063,                 3.1077,                    inf,                 4.0115,             0.00059848,             0.00059848,             0.00059848
                      2,                 2.9952,                 4.2863,                 3.3879,                0.58906,                0.03129,                0.00796,                0.00251,                 2.8312,                 5.2167,                 3.1883,              0.0008915,              0.0008915,              0.0008915
                      3,                 2.8836,                 4.0225,                 3.1431,                0.60187,                 0.0327,                0.01472,                0.00637,                 2.6906,                 3.5631,                 3.0038,              0.0008865,              0.0008865,              0.0008865
                      4,                 2.6878,                 3.6541,                 2.9072,                0.32595,                0.04244,                0.01205,                0.00433,                   2.63,                 3.5994,                 2.8453,              0.0008865,              0.0008865,              0.0008865
                      5,                   2.54,                 3.4837,                 2.7355,                0.46276,                0.03354,                0.02015,                0.00906,                 2.4008,                 3.2179,                 2.5951,               0.000879,               0.000879,               0.000879
                      6,                 2.4517,                 3.3617,                 2.6188,                0.20056,                 0.0631,                0.02701,                0.01305,                 2.3691,                 3.2723,                 2.5596,              0.0008715,              0.0008715,              0.0008715
                      7,                 2.3615,                 3.1825,                 2.5068,                0.34037,                0.04293,                0.03171,                0.01517,                 2.3311,                 3.1247,                 2.4466,               0.000864,               0.000864,               0.000864
                      8,                 2.2243,                 3.0579,                 2.3795,                0.19314,                0.04902,                0.03464,                0.01623,                  2.165,                 2.9613,                 2.3661,             0.00085651,             0.00085651,             0.00085651
                      9,                 2.1533,                 2.9493,                 2.2882,                0.26209,                0.06013,                0.03539,                0.01685,                 2.1104,                 2.9117,                 2.2381,             0.00084901,             0.00084901,             0.00084901
                     10,                 2.0533,                 2.8928,                 2.1938,                0.23199,                0.05849,                0.04248,                0.02162,                 1.9743,                 2.7445,                 2.1439,             0.00084151,             0.00084151,             0.00084151
                     11,                 2.0044,                 2.7983,                 2.1214,                0.21686,                0.08788,                0.04811,                0.02562,                 1.9424,                 2.7883,                 2.0975,             0.00083401,             0.00083401,             0.00083401
                     12,                 1.9556,                 2.7708,                 2.1335,                0.26226,                0.06612,                0.04785,                0.02654,                 1.9263,                 2.6304,                 2.0727,             0.00082651,             0.00082651,             0.00082651
                     13,                 1.9096,                 2.7029,                  2.051,                0.23598,                0.08164,                0.04887,                0.02726,                 1.8413,                 2.5869,                 1.9915,             0.00081901,             0.00081901,             0.00081901
                     14,                  1.869,                 2.7073,                   2.02,                0.23883,                0.07242,                0.04884,                0.02594,                  1.876,                 2.7047,                 2.0429,             0.00081151,             0.00081151,             0.00081151
                     15,                 1.8127,                 2.6349,                 1.9768,                0.23472,                0.08986,                0.05247,                0.03014,                 1.7634,                 2.5987,                 1.9025,             0.00080401,             0.00080401,             0.00080401
                     16,                 1.7819,                 2.6081,                 1.9457,                0.24737,                0.09499,                0.05553,                0.03101,                 1.8109,                 2.5523,                 1.9364,             0.00079651,             0.00079651,             0.00079651
                     17,                 1.7659,                 2.5952,                 1.9447,                0.25343,                0.09004,                0.05489,                0.03204,                 1.7317,                 2.5482,                 1.9061,             0.00078901,             0.00078901,             0.00078901
                     18,                 1.7185,                 2.5102,                 1.8617,                0.25282,                0.10529,                0.06335,                0.03509,                 1.7283,                 2.4408,                 1.8691,             0.00078151,             0.00078151,             0.00078151
                     19,                 1.7286,                 2.5018,                 1.8744,                0.22558,                0.09363,                0.06519,                0.03825,                 1.7308,                 2.4666,                 1.8332,             0.00077401,             0.00077401,             0.00077401
                     20,                 1.6825,                 2.4998,                  1.846,                0.20324,                0.08863,                0.05896,                0.03417,                  1.708,                 2.4461,                 1.8524,             0.00076651,             0.00076651,             0.00076651
                     21,                 1.6383,                 2.4481,                 1.8173,                 0.2278,                0.11805,                0.05809,                0.03544,                   1.68,                 2.4076,                    1.8,             0.00075902,             0.00075902,             0.00075902
                     22,                 1.6917,                  2.528,                 1.8266,                 0.3589,                0.07703,                0.05858,                0.03472,                 1.6522,                 2.5099,                 1.7788,             0.00075152,             0.00075152,             0.00075152
                     23,                 1.6179,                 2.4149,                 1.7838,                0.24362,                0.10709,                 0.0605,                0.03616,                 1.6407,                 2.4465,                 1.8011,             0.00074402,             0.00074402,             0.00074402
                     24,                 1.6217,                 2.3922,                 1.7448,                0.23837,                0.11092,                0.06462,                0.03844,                 1.6322,                 2.3588,                 1.7346,             0.00073652,             0.00073652,             0.00073652
                     25,                 1.6213,                 2.3887,                 1.7444,                 0.2358,                0.09954,                0.06159,                 0.0378,                 1.5868,                 2.4247,                 1.7235,             0.00072902,             0.00072902,             0.00072902
                     26,                 1.5843,                 2.4172,                 1.7457,                0.34935,                0.10899,                0.06295,                0.03901,                 1.5888,                 2.3591,                 1.7138,             0.00072152,             0.00072152,             0.00072152
                     27,                  1.575,                 2.2894,                 1.7035,                0.22347,                0.10298,                0.06706,                0.04151,                 1.5849,                 2.3217,                 1.6964,             0.00071402,             0.00071402,             0.00071402
                     28,                 1.5561,                 2.3193,                 1.6958,                0.50146,                0.12265,                0.06677,                0.03922,                 1.5936,                 2.3396,                 1.7261,             0.00070652,             0.00070652,             0.00070652
                     29,                 1.5465,                 2.2933,                 1.6717,                0.26035,                0.11527,                0.07173,                0.04375,                   1.61,                 2.3533,                 1.7427,             0.00069902,             0.00069902,             0.00069902
                     30,                 1.4933,                 2.2426,                 1.6646,                0.35764,                0.11713,                0.07246,                0.04552,                 1.5595,                 2.3193,                 1.6848,             0.00069152,             0.00069152,             0.00069152
                     31,                 1.5114,                 2.2411,                 1.6366,                 0.3982,                0.11518,                0.06751,                 0.0434,                 1.5376,                 2.2546,                 1.6616,             0.00068402,             0.00068402,             0.00068402
                     32,                 1.5096,                 2.2756,                 1.6686,                0.36289,                0.12127,                0.07527,                0.04845,                 1.5158,                 2.2489,                 1.6546,             0.00067652,             0.00067652,             0.00067652
                     33,                 1.4918,                 2.2281,                 1.6487,                 0.5031,                0.10968,                0.07242,                0.04654,                 1.5352,                 2.2757,                  1.665,             0.00066902,             0.00066902,             0.00066902
                     34,                 1.4847,                 2.2244,                 1.6519,                0.39441,                0.12636,                0.07547,                0.04775,                 1.5594,                 2.2416,                 1.6976,             0.00066152,             0.00066152,             0.00066152
                     35,                 1.4652,                 2.1756,                  1.608,                0.38891,                0.13798,                0.07635,                0.04546,                 1.4901,                 2.1989,                  1.607,             0.00065403,             0.00065403,             0.00065403
                     36,                 1.4808,                 2.2284,                 1.6171,                0.23482,                0.13778,                0.07567,                 0.0501,                 1.4906,                 2.2628,                 1.6236,             0.00064653,             0.00064653,             0.00064653
                     37,                 1.4364,                 2.2049,                 1.6109,                0.23627,                0.13433,                0.07552,                0.04593,                 1.5333,                 2.3656,                 1.6453,             0.00063903,             0.00063903,             0.00063903
                     38,                 1.4147,                 2.1945,                 1.5814,                0.23835,                0.11455,                0.07577,                0.04817,                 1.5507,                 2.2087,                 1.6563,             0.00063153,             0.00063153,             0.00063153
                     39,                 1.4041,                 2.1302,                 1.5464,                0.35441,                0.12283,                 0.0712,                0.04533,                 1.4827,                 2.2244,                 1.6224,             0.00062403,             0.00062403,             0.00062403
                     40,                 1.4058,                 2.1162,                 1.5549,                0.41642,                 0.1266,                0.08068,                0.05245,                 1.4909,                 2.2399,                 1.6034,             0.00061653,             0.00061653,             0.00061653
                     41,                 1.3939,                 2.1294,                  1.564,                0.26384,                0.13045,                0.07896,                0.04906,                 1.5073,                 2.1691,                 1.6049,             0.00060903,             0.00060903,             0.00060903
                     42,                 1.4011,                 2.1299,                 1.5647,                0.45111,                0.13492,                 0.0821,                0.04922,                 1.5014,                 2.1916,                 1.6064,             0.00060153,             0.00060153,             0.00060153
                     43,                 1.3798,                 2.0933,                 1.5347,                0.23445,                0.12831,                 0.0732,                0.04459,                 1.4233,                 2.2529,                 1.5655,             0.00059403,             0.00059403,             0.00059403
                     44,                 1.3803,                 2.1564,                 1.5557,                0.37614,                0.12754,                0.07924,                0.05237,                 1.4308,                 2.1698,                 1.5928,             0.00058653,             0.00058653,             0.00058653
                     45,                 1.3192,                 2.0128,                 1.4924,                0.28444,                0.11939,                0.08222,                0.05129,                  1.432,                 2.1629,                 1.5867,             0.00057903,             0.00057903,             0.00057903
